symbol,day,trade_number,wallet,achat,loss,profit,vente,pourcentage,benef
BTC/USDT,08/17/2017,0,100,4360.0,4359.988934339337,4360.016598490994,4377.85,0.00409403669724779,100.40940366972478
BTC/USDT,08/17/2017,1,100.40940366972478,4443.0,4429.997276049187,4462.504085926219,4440.0,-0.0006752194463200541,100.34160528777359
BTC/USDT,08/17/2017,2,100.34160528777359,4443.9,4429.24893150561,4465.876602741585,4460.0,0.0036229438106168826,100.7051372855983
BTC/USDT,08/17/2017,3,100.7051372855983,4449.56,4436.721342009013,4468.817986986482,4447.66,-0.0004270085132014279,100.66213533465422
BTC/USDT,08/17/2017,4,100.66213533465422,4430.0,4422.200071790216,4441.6998923146775,4434.12,0.0009300225733634065,100.75575339279841
BTC/USDT,08/17/2017,5,100.75575339279841,4469.0,4464.867150675807,4475.199273986289,4469.99,0.00022152606847164504,100.77807341872342
BTC/USDT,08/17/2017,6,100.77807341872342,4325.23,4307.541424728734,4351.762862906899,4325.23,0.0,100.77807341872342
BTC/USDT,08/17/2017,7,100.77807341872342,4349.63,4332.671002871403,4375.068495692895,4349.63,0.0,100.77807341872342
BTC/USDT,08/17/2017,8,100.77807341872342,4337.36,4318.348066019847,4365.877900970229,4337.36,0.0,100.77807341872342
BTC/USDT,08/17/2017,9,100.77807341872342,4332.26,4327.646592109608,4339.180111835589,4332.26,0.0,100.77807341872342
BTC/USDT,08/18/2017,10,100.77807341872342,4277.83,4255.626441296437,4311.135338055344,4277.83,0.0,100.77807341872342
BTC/USDT,08/18/2017,11,100.77807341872342,4325.38,4273.98977801661,4402.4653329750845,4325.38,0.0,100.77807341872342
BTC/USDT,08/18/2017,12,100.77807341872342,4299.0,4286.85783094771,4317.213253578435,4299.0,0.0,100.77807341872342
BTC/USDT,08/18/2017,13,100.77807341872342,4300.25,4291.4829176374715,4313.400623543794,4298.0,-0.0005232253938724493,100.7253437715652
BTC/USDT,08/18/2017,14,100.7253437715652,4293.55,4277.992040734539,4316.886938898192,4293.55,0.0,100.7253437715652
BTC/USDT,08/18/2017,15,100.7253437715652,4304.15,4282.037145538385,4337.319281692421,4304.15,0.0,100.7253437715652
BTC/USDT,08/18/2017,16,100.7253437715652,4329.0,4327.076937084803,4331.884594372796,4329.0,0.0,100.7253437715652
BTC/USDT,08/18/2017,17,100.7253437715652,4343.23,4329.946411439539,4363.15538284069,4343.23,0.0,100.7253437715652
BTC/USDT,08/18/2017,18,100.7253437715652,4331.71,4306.7163402635315,4369.200489604703,4331.71,0.0,100.7253437715652
BTC/USDT,08/18/2017,19,100.7253437715652,4115.0,4103.553055717722,4132.170416423418,4115.0,0.0,100.7253437715652
BTC/USDT,08/19/2017,20,100.7253437715652,4121.81,4112.360559201546,4135.984161197682,4121.81,0.0,100.7253437715652
BTC/USDT,08/19/2017,21,100.7253437715652,4116.4,4095.649637603411,4147.525543594883,4116.4,0.0,100.7253437715652
BTC/USDT,08/19/2017,22,100.7253437715652,4116.4,4088.0841616095195,4158.873757585719,4132.04,0.0037994364007385892,101.1080433091678
BTC/USDT,08/19/2017,23,101.1080433091678,4132.04,4093.046620164775,4190.530069752837,4135.47,0.0008300984501602819,101.19197293921748
BTC/USDT,08/19/2017,24,101.19197293921748,4152.55,4149.721781349982,4156.792327975028,4152.55,0.0,101.19197293921748
BTC/USDT,08/19/2017,25,101.19197293921748,4180.0,4171.320682577304,4193.018976134043,4168.19,-0.002825358851674737,100.90606930275523
BTC/USDT,08/19/2017,26,100.90606930275523,4157.65,4143.904815872042,4178.267776191937,4157.65,0.0,100.90606930275523
BTC/USDT,08/19/2017,27,100.90606930275523,4140.0,4107.998758390579,4188.001862414133,4140.0,0.0,100.90606930275523
BTC/USDT,08/19/2017,28,100.90606930275523,4097.0,4085.8410146219667,4113.73847806705,4100.0,0.000732243104710764,100.97995707622563
BTC/USDT,08/19/2017,29,100.97995707622563,4066.0,4055.0629111384524,4082.405633292322,4045.71,-0.004990162321692072,100.47605069917776
BTC/USDT,08/19/2017,30,100.47605069917776,4066.0,4044.0684040553656,4098.897393916952,4066.0,0.0,100.47605069917776
BTC/USDT,08/19/2017,31,100.47605069917776,4045.0,4036.390854387604,4057.913718418594,4045.0,0.0,100.47605069917776
BTC/USDT,08/19/2017,32,100.47605069917776,4042.41,4037.9124976672488,4049.1562534991263,4042.41,0.0,100.47605069917776
BTC/USDT,08/19/2017,33,100.47605069917776,4042.41,4036.311448111095,4051.557827833357,4042.41,0.0,100.47605069917776
BTC/USDT,08/19/2017,34,100.47605069917776,4088.71,4088.6200310590125,4088.844953411481,4076.12,-0.0030792108024291637,100.16666375847943
BTC/USDT,08/19/2017,35,100.16666375847943,4076.12,4075.58538308842,4076.92192536737,4088.71,0.003088721627430043,100.47605069917776
BTC/USDT,08/19/2017,36,100.47605069917776,4089.01,4067.905642200264,4120.666536699605,4089.01,0.0,100.47605069917776
BTC/USDT,08/19/2017,37,100.47605069917776,4069.66,4063.4533572999335,4078.9699640500994,4069.66,0.0,100.47605069917776
BTC/USDT,08/19/2017,38,100.47605069917776,4075.98,4056.8440391593326,4104.683941261002,4075.98,0.0,100.47605069917776
BTC/USDT,08/19/2017,39,100.47605069917776,4141.0,4119.003853386515,4173.994219920227,4140.99,-2.4148756339575656e-06,100.47580806201113
BTC/USDT,08/19/2017,40,100.47580806201113,4139.98,4130.619961321579,4154.020058017631,4139.98,0.0,100.47580806201113
BTC/USDT,08/20/2017,41,100.47580806201113,4111.26,4110.837939656382,4111.8930905154275,4111.26,0.0,100.47580806201113
BTC/USDT,08/20/2017,42,100.47580806201113,4117.41,4105.074643116406,4135.9130353253895,4117.41,0.0,100.47580806201113
BTC/USDT,08/20/2017,43,100.47580806201113,4109.41,4099.324465987242,4124.538301019137,4109.41,0.0,100.47580806201113
BTC/USDT,08/20/2017,44,100.47580806201113,4109.41,4094.02430416251,4132.488543756235,4130.0,0.0050104516220090345,100.97923723748809
BTC/USDT,08/20/2017,45,100.97923723748809,4116.8,4092.7053509948564,4152.941973507715,4169.89,0.012895938593082041,102.281459280079
BTC/USDT,08/20/2017,46,102.281459280079,4155.0,4153.800234301681,4156.79964854748,4155.0,0.0,102.281459280079
BTC/USDT,08/20/2017,47,102.281459280079,4111.51,4110.481970425144,4113.0520443622845,4111.51,0.0,102.281459280079
BTC/USDT,08/20/2017,48,102.281459280079,4114.4,4109.1937168969835,4122.209424654523,4114.4,0.0,102.281459280079
BTC/USDT,08/20/2017,49,102.281459280079,4129.32,4121.837151525375,4140.544272711937,4119.65,-0.0023417899315141652,102.04193758855634
BTC/USDT,08/20/2017,50,102.04193758855634,4132.0,4126.053866586513,4140.91920012023,4132.0,0.0,102.04193758855634
BTC/USDT,08/20/2017,51,102.04193758855634,4169.94,4163.602629355766,4179.446055966349,4169.94,0.0,102.04193758855634
BTC/USDT,08/20/2017,52,102.04193758855634,4157.57,4145.985700977651,4174.946448533524,4171.62,0.0033793778577390597,102.3867758530039
BTC/USDT,08/20/2017,53,102.3867758530039,4153.09,4145.765078326276,4164.077382510586,4149.54,-0.0008547852322006462,102.29925714903212
BTC/USDT,08/20/2017,54,102.29925714903212,4147.28,4139.684833331368,4158.6727500029465,4147.28,0.0,102.29925714903212
